94	1677	53
826	2708	57
1262	3585	79
826	2708	103
607	1675	136
677	5106	374
1520	5576	446
1100	5576	460
433	3714	517
1995	4819	572
27	2323	575
1071	5078	613
174	3582	636
433	3714	644
1261	1149	648
1874	1461	670
183	871	673
1839	2032	679
2022	3903	697
1543	4070	698
1934	4693	728
1323	2025	730
314	1859	730
126	3165	736
1071	4675	738
826	2437	767
1497	1796	770
835	2032	772
1057	2154	774
1246	4954	780
126	4675	797
1497	5444	819
522	1190	822
2239	860	823
1505	3261	824
2009	1090	825
2205	4269	828
574	3089	832
1950	3413	840
890	2692	843
916	5166	843
27	5295	845
1694	3169	859
916	3819	873
916	3819	873
517	639	975
1743	143	996
229	3322	1005
1262	4900	1005
1092	4584	1006
1092	4584	1006
1136	4599	1018
893	4313	1021
780	287	1023
940	5207	1028
1116	1796	1035
2149	3384	1035
2149	2991	1035
2149	3691	1035
384	2365	1044
1839	1240	1061
1100	2365	1072
2239	448	1073
94	148	1078
522	4402	1078
2009	1185	1082
126	106	1086
126	106	1086
1268	515	1102
225	4061	1102
433	1876	1109
271	1069	1110
343	399	1115
1819	2604	1118
1595	3869	1123
1131	4402	1124
641	1992	1125
752	56	1128
1100	4274	1133
384	4930	1133
940	3981	1138
1743	309	1145
1939	4742	1145
1819	493	1147
1229	1163	1151
1463	4422	1152
1196	4628	1163
32	2695	1166
298	3495	1174
641	821	1176
1325	2887	1177
1767	2534	1178
1497	4632	1180
1268	3856	1180
314	2973	1183
32	5311	1185
441	493	1186
752	983	1188
1234	3182	1198
1229	4682	1198
1682	4371	1200
1516	3502	1205
395	2188	1205
206	295	1207
1615	2962	1215
939	2414	1218
2149	4675	1223
492	370	1223
1786	3368	1224
2079	1574	1228
752	879	1232
1792	1247	1237
939	3261	1247
1595	475	1289
2209	1935	1309
1234	4557	1317
1389	267	1322
2149	5455	1335
95	559	1349
641	2028	1351
792	1857	1352
812	2827	1381
1854	1427	1409
1634	3714	1430
1975	4849	1441
2252	1915	1446
1262	3304	1474
903	1247	1619
517	5545	1777
517	1881	1779
517	1881	1779
517	4135	1788
517	1579	1789
517	809	1792
1237	2712	1850
1922	5166	1878
1237	2575	1884
1922	1846	1894
692	4832	1904
692	193	1906
692	4364	1909
692	2838	1912
1595	1350	1926
692	1167	1952
1497	3489	1955
1884	3240	1960
752	980	1985
1268	1328	1996
1577	3483	2004
1654	5588	2019
916	4560	2032
1839	3516	2043
1839	4581	2044
2236	939	2048
126	2257	2090
1934	4373	2097
2009	4343	2105
862	465	2105
1743	4779	2137
1320	4629	2147
1320	1485	2147
480	3588	2163
1486	3165	2166
1743	4846	2177
314	4408	2178
1237	5036	2181
1614	1390	2181
1320	3335	2183
890	4173	2193
2009	4589	2195
1244	3199	2197
705	562	2199
1313	879	2199
2061	1111	2205
1934	1301	2213
1513	4605	2216
298	860	2217
1051	5559	2220
1176	5424	2225
475	1013	2231
546	3664	2236
1497	2440	2239
890	4104	2256
1051	1940	2268
1874	4560	2269
271	3345	2282
40	3232	2286
33	2214	2309
1486	5559	2317
1176	4083	2326
428	4665	2328
271	2849	2336
1176	279	2338
1839	4197	2338
126	5413	2351
862	4043	2359
1962	1796	2421
2009	4343	2424
1513	341	2431
428	4785	2444
2149	660	2451
730	3911	2453
2089	4369	2462
1043	1796	2463
1043	1796	2463
1595	2222	2468
1595	4708	2491
517	1857	2506
